,id,type,name,first_name,second_name,picture_url,producer,country,abv,average_rating,rating_count,description.content,description.google_translation,description.original_content
2,3,garnish,Orange zest,,,,,,,,,,,
3,4,garnish,Lime zest,,,,,,,,,,,
4,5,garnish,Grapefruit,,,,,,,,,,,
7,8,garnish,Ginger,,,,,,,,,,,
8,9,garnish,Mint,,,,,,,,,,,
13,14,garnish,Cucumber,,,,,,,,,,,
14,15,garnish,Lemon,,,,,,,,,,,
17,18,garnish,Lime,,,,,,,,,,,
18,19,garnish,Rosemary,,,,,,,,,,,
19,20,garnish,Thyme,,,,,,,,,,,
20,21,garnish,Cardamom,,,,,,,,,,,
24,25,garnish,Neat,,,,,,,,,,,
25,26,garnish,Orange,,,,,,,,,,,
31,32,garnish,Chocolate,,,,,,,,,,,
32,33,garnish,Strawberry,,,,,,,,,,,
33,34,garnish,Cinnamon,,,,,,,,,,,
34,35,garnish,Juniper berry,,,,,,,,,,,
35,36,garnish,Mandarin zest,,,,,,,,,,,
43,44,garnish,Pink pepper,,,,,,,,,,,
47,48,garnish,Lingonberry,,,,,,,,,,,
54,55,garnish,Lemon zest,,,,,,,,,,,
56,57,garnish,Apple,,,,,,,,,,,
58,59,garnish,Licorice,,,,,,,,,,,
59,60,garnish,Rose petals,,,,,,,,,,,
60,61,garnish,Hibiscus,,,,,,,,,,,
63,64,garnish,Cherry,,,,,,,,,,,
65,66,garnish,Raspberry,,,,,,,,,,,
74,75,garnish,Ground elder,,,,,,,,,,,
75,76,garnish,Sloeberry,,,,,,,,,,,
76,77,garnish,Elderflower,,,,,,,,,,,
77,78,garnish,Magnolia,,,,,,,,,,,
97,98,garnish,Grapefruit zest,,,,,,,,,,,
