id;perfect_garnishes_id
1;5.0
1;4.0
1;3.0
6;8.0
6;9.0
10;14.0
10;15.0
16;21.0
16;15.0
16;18.0
16;3.0
16;19.0
16;20.0
22;15.0
22;25.0
22;26.0
27;25.0
28;25.0
29;32.0
29;34.0
29;35.0
29;36.0
29;9.0
29;3.0
29;33.0
37;
38;
39;
40;15.0
40;18.0
41;35.0
41;18.0
41;44.0
41;19.0
41;33.0
45;21.0
45;18.0
46;18.0
47;34.0
47;48.0
49;34.0
49;48.0
50;
51;
52;18.0
53;55.0
53;18.0
56;57.0
58;61.0
58;55.0
58;59.0
58;3.0
58;60.0
62;64.0
62;4.0
62;33.0
65;21.0
65;4.0
65;66.0
67;34.0
67;3.0
68;25.0
69;25.0
70;25.0
71;55.0
71;4.0
71;25.0
71;3.0
73;25.0
74;77.0
74;75.0
74;78.0
74;76.0
79;
80;
81;
82;18.0
84;18.0
85;18.0
86;
87;5.0
87;15.0
87;18.0
87;9.0
88;55.0
90;18.0
92;18.0
92;26.0
94;246.0
95;98.0
95;55.0
95;4.0
95;36.0
99;32.0
99;48.0
99;66.0
99;33.0
