id;type;name
3;garnish;Orange zest
4;garnish;Lime zest
5;garnish;Grapefruit
8;garnish;Ginger
9;garnish;Mint
14;garnish;Cucumber
15;garnish;Lemon
18;garnish;Lime
19;garnish;Rosemary
20;garnish;Thyme
21;garnish;Cardamom
25;garnish;Neat
26;garnish;Orange
32;garnish;Chocolate
33;garnish;Strawberry
34;garnish;Cinnamon
35;garnish;Juniper berry
36;garnish;Mandarin zest
44;garnish;Pink pepper
48;garnish;Lingonberry
55;garnish;Lemon zest
57;garnish;Apple
59;garnish;Licorice
60;garnish;Rose petals
61;garnish;Hibiscus
64;garnish;Cherry
66;garnish;Raspberry
75;garnish;Ground elder
76;garnish;Sloeberry
77;garnish;Elderflower
78;garnish;Magnolia
98;garnish;Grapefruit zest
105;garnish;Black pepper
106;garnish;Cloves
109;garnish;Star anise
110;garnish;Violets
121;garnish;Blackberry
124;garnish;Orange blossom
127;garnish;Rhubarb
130;garnish;Lemon aspen
131;garnish;Fennel seeds
137;garnish;Coriander
144;garnish;Sage
146;garnish;Cranberry
148;garnish;Bell pepper
150;garnish;Chili pepper
153;garnish;Chamomile
158;garnish;Lavender
159;garnish;Basil
160;garnish;Pomegranate
161;garnish;Pumpkin seed
165;garnish;Kumquat
184;garnish;Kaffir lime
185;garnish;Salicornia
198;garnish;Savory
200;garnish;Dried tomato
204;garnish;Passion fruit
216;garnish;Rocket
221;garnish;Lemon grass
224;garnish;Parsley
225;garnish;Celery
246;garnish;Blueberry
267;garnish;Seaweed
302;garnish;Kaffir lime leaf
324;garnish;Grape
334;garnish;Blood orange
343;garnish;Mandarin
344;garnish;Lemon balm
365;garnish;Bergamot orange zest
373;garnish;Bay leaf
376;garnish;Chicory
385;garnish;Fennel
388;garnish;Nutmeg
397;garnish;Jamaica pepper
406;garnish;Lemon thyme
408;garnish;Vanilla sugar
419;garnish;Lemon verbena
425;garnish;Tarragon
438;garnish;Pomelo
439;garnish;Carambola
453;garnish;White pepper
459;garnish;Almond
485;garnish;Buddha's hand
527;garnish;Redcurrant berry
529;garnish;Tangelo
543;garnish;Lychee
556;garnish;Peach
