id;perfect_garnishes_id
1;5
1;4
1;3
6;8
6;9
10;14
10;15
16;21
16;15
16;18
16;3
16;19
16;20
22;15
22;25
22;26
27;25
28;25
29;32
29;34
29;35
29;36
29;9
29;3
29;33
40;15
40;18
41;35
41;18
41;44
41;19
41;33
45;21
45;18
46;18
47;34
47;48
49;34
49;48
52;18
53;55
53;18
56;57
58;61
58;55
58;59
58;3
58;60
62;64
62;4
62;33
65;21
65;4
65;66
67;34
67;3
68;25
69;25
70;25
71;55
71;4
71;25
71;3
73;25
74;77
74;75
74;78
74;76
82;18
84;18
85;18
87;5
87;15
87;18
87;9
88;55
90;18
92;18
92;26
94;246
95;98
95;55
95;4
95;36
99;32
99;48
99;66
99;33
