id;type;name;first_name;second_name;picture_url;producer;country;abv;average_rating;rating_count
1;gin;1085 Toledo Gin;;;https://ginventory.reed.be/api/v2/products/1/picture?type=normal;Licores Caro;Spain;;6.6;74
6;gin;119 Gin;;;https://ginventory.reed.be/api/v2/products/6/picture?type=normal;Carmelitano Distilleries;Spain;;6.9;39
10;gin;12 Bridges Gin - (Discontinued);12 Bridges Gin;(Discontinued);https://ginventory.reed.be/api/v2/products/10/picture?type=normal;Integrity Spirits;United States;;6.4;43
16;gin;12/11 Gin;;;https://ginventory.reed.be/api/v2/products/16/picture?type=normal;Destilerías Liber;Spain;;6.9;23
22;gin;12/11 Gin Aurum Limited Edition;;;https://ginventory.reed.be/api/v2/products/22/picture?type=normal;Destilerías Liber;Spain;;7.4;34
27;gin;1495 Gin Interpretatio;;;https://ginventory.reed.be/api/v2/products/27/picture?type=normal;Maison Villevert;France;;7.5;5
28;gin;1495 Gin Verbatim;;;https://ginventory.reed.be/api/v2/products/28/picture?type=normal;Maison Villevert;France;;7.3;8
29;gin;1528 Cocoa Gin;;;https://ginventory.reed.be/api/v2/products/29/picture?type=normal;Pico Cacao;Spain;;7.6;80
37;gin;1827 Wild Swan Gin;;;https://ginventory.reed.be/api/v2/products/37/picture?type=normal;Wild Swan Distilling Co.;Australia;;7.5;1
38;gin;1830 Sahara Fine London Style Dry Gin;;;https://ginventory.reed.be/api/v2/products/38/picture?type=normal;Highwood Distillers;Canada;;6.3;3
39;gin;1831 Gin - Blue;1831 Gin;Blue;https://ginventory.reed.be/api/v2/products/39/picture?type=normal;Destilerías Manuel Acha;Spain;;7.6;22
40;gin;1835 Lone Star Gin;;;https://ginventory.reed.be/api/v2/products/40/picture?type=normal;North Texas Distillers;United States;;8.1;5
41;gin;1836 Belgian Organic Gin;;;https://ginventory.reed.be/api/v2/products/41/picture?type=normal;Distillerie Radermacher;Belgium;;8.3;271
45;gin;1843 Gin;;;https://ginventory.reed.be/api/v2/products/45/picture?type=normal;Huber's Starlight Distillery;United States;;7.3;5
46;gin;1875 Gin Premium;;;https://ginventory.reed.be/api/v2/products/46/picture?type=normal;Destilleries Del Maresme;Spain;;7.3;5
47;gin;1890 Ginebra Especial;;;https://ginventory.reed.be/api/v2/products/47/picture?type=normal;Destilerías De Constantina;Spain;;7.0;3
49;gin;1890 Ginebra Especial Exotica;;;https://ginventory.reed.be/api/v2/products/49/picture?type=normal;Destilerías De Constantina;Spain;;8.2;29
50;gin;1895 Gin Edición Limitada;;;https://ginventory.reed.be/api/v2/products/50/picture?type=normal;Destilerías El Tajo;Spain;;6.9;1
51;gin;1895 London Dry Gin;;;https://ginventory.reed.be/api/v2/products/51/picture?type=normal;Destilerías El Tajo;Spain;;6.7;5
52;gin;1897 Quinine Gin;;;https://ginventory.reed.be/api/v2/products/52/picture?type=normal;1897 Quinine Gin;United Kingdom;;8.1;33
53;gin;19 Flors;;;https://ginventory.reed.be/api/v2/products/53/picture?type=normal;Destilería la Vallesana, S.A.;Spain;;7.2;13
56;gin;1911 Gin;;;https://ginventory.reed.be/api/v2/products/56/picture?type=normal;1911 Spirits;United States;;8.3;38
58;gin;1947 Gin Aromatic;;;https://ginventory.reed.be/api/v2/products/58/picture?type=normal;Destilerías Rigo;Spain;;7.1;9
62;gin;1947 Gin Fresa & Cereza;;;https://ginventory.reed.be/api/v2/products/62/picture?type=normal;Destilerías Rigo;Spain;;7.1;8
65;gin;1947 Gin Mora & Fambruesa;;;https://ginventory.reed.be/api/v2/products/65/picture?type=normal;Destilerías Rigo;Spain;;7.3;3
67;gin;1947 Gin Naranja Amarga;;;https://ginventory.reed.be/api/v2/products/67/picture?type=normal;Destilerías Rigo;Spain;;7.3;2
68;gin;1st Cut Fresh Hop Gin Motueka;;;https://ginventory.reed.be/api/v2/products/68/picture?type=normal;Liquid Alchemy Distillery;New Zealand;;6.5;2
69;gin;1st Cut Fresh Hop Gin Nelson Sauvin ;;;https://ginventory.reed.be/api/v2/products/69/picture?type=normal;Liquid Alchemy Distillery;New Zealand;;6.0;2
70;gin;1st Cut Fresh Hop Gin Wai Iti;;;https://ginventory.reed.be/api/v2/products/70/picture?type=normal;Liquid Alchemy Distillery;New Zealand;;7.8;2
71;gin;1st Cut Gin;;;https://ginventory.reed.be/api/v2/products/71/picture?type=normal;Liquid Alchemy Distillery;New Zealand;;7.8;6
73;gin;21 Bodensee Dry Gin;;;https://ginventory.reed.be/api/v2/products/73/picture?type=normal;Edelbrände Senft GmbH & Co.;Germany;;8.4;92
74;gin;25 Elckerlijc Silver Edition Gin;;;https://ginventory.reed.be/api/v2/products/74/picture?type=normal;Heynsquared;Belgium;;7.9;14
79;gin;27 Springs Gin;;;https://ginventory.reed.be/api/v2/products/79/picture?type=normal;High Ridge Spirits;United States;;8.0;2
80;gin;282 Gin;;;https://ginventory.reed.be/api/v2/products/80/picture?type=normal;V.D.S.;Belgium;;6.7;4
81;gin;3 Bees Minnesota Dry Gin;;;https://ginventory.reed.be/api/v2/products/81/picture?type=normal;Sherwoods Winery & Distillery;United States;;7.9;1
82;gin;3 Howls Good Old Fashioned;;;https://ginventory.reed.be/api/v2/products/82/picture?type=normal;3 Howls Distillery;United States;;7.5;7
84;gin;3 Howls Navy Strength;;;https://ginventory.reed.be/api/v2/products/84/picture?type=normal;3 Howls Distillery;United States;;8.4;6
85;gin;3&3 London Dry Gin;;;https://ginventory.reed.be/api/v2/products/85/picture?type=normal;Coronas Galicia;Spain;;7.7;5
86;gin;42 Orson's London Dry Gin;;;https://ginventory.reed.be/api/v2/products/86/picture?type=normal;Kastell Marken-Spirituosen GmbH;Germany;;8.4;291
87;gin;4T4 Haagem Dry Gin;;;https://ginventory.reed.be/api/v2/products/87/picture?type=normal;4T4 Premium Gin;Belgium;;8.6;7
88;gin;5 Continents Hamburg Dry Gin;;;https://ginventory.reed.be/api/v2/products/88/picture?type=normal;Feingeisterei Gut Basthorst;Germany;;7.8;249
90;gin;50 Fathoms Gin;;;https://ginventory.reed.be/api/v2/products/90/picture?type=normal;Port Chilkoot Distillery;United States;;8.0;11
92;gin;50. Breitengrad Dry Gin;;;https://ginventory.reed.be/api/v2/products/92/picture?type=normal;Kornmayer's Manufaktur;Germany;;6.5;3
94;gin;5th Distilled Gin Air;;;https://ginventory.reed.be/api/v2/products/94/picture?type=normal;Destilleries Del Maresme;Spain;;7.8;25
95;gin;5th Distilled Gin Earth;;;https://ginventory.reed.be/api/v2/products/95/picture?type=normal;Destilleries Del Maresme;Spain;;7.2;60
99;gin;5th Distilled Gin Fire;;;https://ginventory.reed.be/api/v2/products/99/picture?type=normal;Destilleries Del Maresme;Spain;;8.1;119
103;gin;5th Distilled Gin Water;;;https://ginventory.reed.be/api/v2/products/103/picture?type=normal;Destilleries Del Maresme;Spain;;7.5;64
107;gin;6 Moments;;;https://ginventory.reed.be/api/v2/products/107/picture?type=normal;Stokerij De Moor;Belgium;;8.1;74
111;gin;6 Moments Sense Unlimited;;;https://ginventory.reed.be/api/v2/products/111/picture?type=normal;Stokerij De Moor;Belgium;;7.9;39
112;gin;6 O'Clock Damson Gin;;;https://ginventory.reed.be/api/v2/products/112/picture?type=normal;Bramley and Gage Ltd.;United Kingdom;;8.0;64
113;gin;6 O'Clock Gin;;;https://ginventory.reed.be/api/v2/products/113/picture?type=normal;Bramley and Gage Ltd.;United Kingdom;;8.3;403
116;gin;6 O'Clock Sloe Gin;;;https://ginventory.reed.be/api/v2/products/116/picture?type=normal;Bramley and Gage Ltd.;United Kingdom;;7.7;41
117;gin;69 Brosses Clàssica;;;https://ginventory.reed.be/api/v2/products/117/picture?type=normal;Licores Sinc;Spain;;7.9;12
119;gin;69 Brosses Maduixa;;;https://ginventory.reed.be/api/v2/products/119/picture?type=normal;Licores Sinc;Spain;;7.7;4
120;gin;69 Brosses Mora Silvestre;;;https://ginventory.reed.be/api/v2/products/120/picture?type=normal;Licores Sinc;Spain;;8.0;11
122;gin;69 Brosses Naranja Navelina;;;https://ginventory.reed.be/api/v2/products/122/picture?type=normal;Licores Sinc;Spain;;7.9;14
125;gin;6th Sense;;;https://ginventory.reed.be/api/v2/products/125/picture?type=normal;Vinprom Peshtera;Bulgaria;;8.2;3
126;gin;7 Dials;;;https://ginventory.reed.be/api/v2/products/126/picture?type=normal;London Gin Club;United Kingdom;;8.0;16
128;gin;7 Secrets Gin;;;https://ginventory.reed.be/api/v2/products/128/picture?type=normal;Martin Spirits;Germany;;7.5;2
129;gin;78 Degrees Small Batch Gin;;;https://ginventory.reed.be/api/v2/products/129/picture?type=normal;Adelaide Hills Distillery;Australia;;8.6;89
132;gin;7D Essential London Dry Gin;;;https://ginventory.reed.be/api/v2/products/132/picture?type=normal;Destilerías Manuel Acha;Spain;;7.8;40
133;gin;Abernathy Gin;;;https://ginventory.reed.be/api/v2/products/133/picture?type=normal;Ten South Distillery;United States;;8.4;2
134;gin;Electric Spirit Co. Achroous Gin;;;https://ginventory.reed.be/api/v2/products/134/picture?type=normal;Electric Spirit Co.;United Kingdom;;8.4;115
135;gin;Act 1734 Gin;;;https://ginventory.reed.be/api/v2/products/135/picture?type=normal;Destilleries Del Maresme;Spain;;8.0;2
136;gin;Adler Berlin Dry Gin;;;https://ginventory.reed.be/api/v2/products/136/picture?type=normal;Preusissche Spirituosen Manifactur;Germany;;8.2;224
138;gin;Silent Pool Distillers Admiral Collingwood Navy Strength Gin;;;https://ginventory.reed.be/api/v2/products/138/picture?type=normal;Silent Pool Distillery;United Kingdom;;8.5;42
139;gin;Adnams Copper House Dry Gin;;;https://ginventory.reed.be/api/v2/products/139/picture?type=normal;Adnams Southwold Distillery;United Kingdom;;8.4;917
142;gin;Adnams First Rate Gin - Triple Malt Dry Gin;Adnams First Rate Gin;Triple Malt Dry Gin;https://ginventory.reed.be/api/v2/products/142/picture?type=normal;Adnams Southwold Distillery;United Kingdom;45.0;8.5;149
145;gin;Adnams Sloe Gin;;;https://ginventory.reed.be/api/v2/products/145/picture?type=normal;Adnams Southwold Distillery;United Kingdom;;7.8;25
147;gin;Aduro Bell Pepper Gin;;;https://ginventory.reed.be/api/v2/products/147/picture?type=normal;Explosive Spirits;Belgium;;8.3;36
149;gin;Aduro Devil's Tail Gin;;;https://ginventory.reed.be/api/v2/products/149/picture?type=normal;Explosive Spirits;Belgium;;8.1;38
151;gin;Aduro Navy Strength Gin - (Formerly Atomic Explosive Strength);Aduro Navy Strength Gin;(Formerly Atomic Explosive Strength);https://ginventory.reed.be/api/v2/products/151/picture?type=normal;Explosive Spirits;Belgium;;8.5;13
152;gin;Aduro Superior Gin - (Formerly Atomic Gin);Aduro Superior Gin;(Formerly Atomic Gin);https://ginventory.reed.be/api/v2/products/152/picture?type=normal;Explosive Spirits;Belgium;;8.0;37
154;gin;Aeijst Styrian Pale Gin;;;https://ginventory.reed.be/api/v2/products/154/picture?type=normal;Wolfgang Thomann;Austria;;8.8;105
162;gin;Aguila Negra Dry Gin;;;https://ginventory.reed.be/api/v2/products/162/picture?type=normal;Aguila Negra;Spain;;;0
163;gin;Ahab Oyster Gin - (Discontinued);Ahab Oyster Gin;(Discontinued);;Deep Cove Brewers and Distillers;United States;;;0
164;gin;Akori Gin;;;https://ginventory.reed.be/api/v2/products/164/picture?type=normal;Destilerías Campeny S.A.;Spain;;8.2;228
166;gin;Alambic's Special Caribbean Gin - Caribbean Rum Cask (13 years);Alambic's Special Caribbean Gin;Caribbean Rum Cask (13 years);https://ginventory.reed.be/api/v2/products/166/picture?type=normal;Alambic Classique;United Kingdom / Germany;;8.6;5
167;gin;Alambic's Special Islay Gin - Ardberg Whiskey Cask (5 years);Alambic's Special Islay Gin;Ardberg Whiskey Cask (5 years);https://ginventory.reed.be/api/v2/products/167/picture?type=normal;Alambic Classique;United Kingdom / Germany;;7.6;3
168;gin;Alambic's Special Islay Gin - Port Ellen Whisky Cask (12 years);Alambic's Special Islay Gin;Port Ellen Whisky Cask (12 years);https://ginventory.reed.be/api/v2/products/168/picture?type=normal;Alambic Classique;United Kingdom / Germany;;8.0;2
169;gin;Alambic's Special Islay Gin - Port Ellen Whisky Cask (14 years);Alambic's Special Islay Gin;Port Ellen Whisky Cask (14 years);https://ginventory.reed.be/api/v2/products/169/picture?type=normal;Alambic Classique;United Kingdom / Germany;;;0
170;gin;Alambic's Special Islay Gin - Port Ellen Whisky Cask (15 years);Alambic's Special Islay Gin;Port Ellen Whisky Cask (15 years);https://ginventory.reed.be/api/v2/products/170/picture?type=normal;Alambic Classique;United Kingdom / Germany;;;0
171;gin;Alambic's Special Orkney Gin - Highland Park Whiskey Cask (5 years);Alambic's Special Orkney Gin;Highland Park Whiskey Cask (5 years);https://ginventory.reed.be/api/v2/products/171/picture?type=normal;Alambic Classique;United Kingdom / Germany;;7.6;7
172;gin;Alambic’s Special Caribbean Gin - Caribbean Rum Cask (15 years);Alambic’s Special Caribbean Gin;Caribbean Rum Cask (15 years);https://ginventory.reed.be/api/v2/products/172/picture?type=normal;Alambic Classique;United Kingdom / Germany;;8.2;3
173;gin;Alambic’s Special Scottish Gin - Bunnahabhain Whisky Cask (16 years);Alambic’s Special Scottish Gin;Bunnahabhain Whisky Cask (16 years);https://ginventory.reed.be/api/v2/products/173/picture?type=normal;Alambic Classique;United Kingdom / Germany;;8.5;3
174;gin;Alambic’s Special Scottish Gin - Caribbean Rum Cask (16 years);Alambic’s Special Scottish Gin;Caribbean Rum Cask (16 years);https://ginventory.reed.be/api/v2/products/174/picture?type=normal;Alambic Classique;United Kingdom / Germany;;8.1;3
175;gin;Albfink Aged Gin;;;https://ginventory.reed.be/api/v2/products/175/picture?type=normal;Finch Whisky Destillerie;Germany;;6.8;21
