id;perfect_tonics_id
1;2
6;7
10;13
10;11
10;12
16;17
16;13
22;23
22;24
22;11
27;11
28;11
29;23
29;30
29;31
40;17
41;43
41;42
45;13
46;7
47;13
47;31
47;42
49;13
49;31
49;42
52;13
53;54
56;13
58;17
58;7
58;43
62;63
62;43
65;43
65;42
67;43
67;42
68;11
69;11
70;11
71;13
71;11
71;72
73;23
74;13
82;83
84;83
85;7
86;13
87;7
87;63
87;31
88;89
90;91
92;93
92;89
95;97
95;96
95;12
99;13
99;102
99;101
99;100
103;13
103;104
103;89
107;23
107;108
107;13
107;63
107;31
111;13
111;31
112;114
112;11
113;114
113;115
116;114
116;11
117;7
117;31
117;118
119;13
119;7
119;118
120;30
120;31
120;118
122;23
122;123
122;118
125;7
126;13
129;17
132;13
132;89
133;13
134;93
136;30
136;89
138;13
139;13
142;17
142;13
145;140
145;11
147;31
149;42
151;11
151;123
152;123
154;23
154;157
154;13
154;156
154;11
154;155
154;89
163;11
164;13
164;63
166;11
167;11
168;11
169;11
170;11
171;11
172;11
173;11
174;11
176;13
178;13
179;11
180;13
180;181
183;13
183;31
186;13
194;11
196;197
196;13
196;30
196;181
199;17
201;13
202;13
203;23
203;13
203;63
205;13
205;24
206;208
206;207
206;93
206;209
206;210
211;212
213;11
217;140
217;17
218;140
218;17
219;220
219;13
219;11
222;223
226;13
226;11
227;11
228;207
228;13
228;11
229;97
229;231
229;230
229;11
229;96
232;207
235;11
236;13
236;31
236;89
237;238
239;240
239;13
239;11
239;155
239;2905
241;220
242;23
242;17
242;243
244;13
244;89
244;245
247;13
248;249
250;96
251;83
252;3242
254;11
256;11
257;7
258;13
259;89
261;212
261;13
262;212
262;13
263;11
264;13
264;7
265;17
265;155
266;13
266;31
269;13
270;207
271;17
271;89
274;13
276;13
278;207
278;13
278;238
278;2297
278;91
279;207
279;13
279;238
279;2297
279;91
282;212
282;13
282;115
283;284
285;13
287;17
289;7
292;91
293;7
294;220
294;13
295;220
295;13
296;89
297;89
298;299
298;300
298;13
301;23
303;11
304;11
305;11
306;11
307;11
308;11
309;11
310;11
311;11
312;11
313;11
314;11
315;11
316;11
317;11
318;17
318;141
319;207
319;13
319;30
319;320
319;63
321;23
321;323
321;17
321;13
321;181
321;322
325;13
325;30
326;12
327;12
328;207
328;13
328;7
329;143
329;207
329;13
329;7
335;207
335;13
335;7
336;11
337;11
338;11
339;11
340;13
340;24
340;7
345;11
348;13
348;43
348;31
349;13
350;351
352;212
352;30
352;322
353;341
354;17
354;141
354;355
356;63
356;43
356;123
356;31
356;42
356;115
360;7
362;17
362;89
363;11
364;17
364;13
364;11
364;42
364;89
366;17
366;141
366;739
366;115
367;11
368;31
369;13
371;372
371;208
371;207
374;212
375;372
381;341
381;143
381;7
382;341
382;143
382;372
386;7
387;13
389;13
390;83
391;83
392;83
393;394
393;207
393;181
393;42
395;23
395;13
395;31
396;30
396;320
398;13
399;7
400;140
401;238
402;238
403;207
403;13
403;89
405;13
405;89
407;13
407;7
409;141
409;351
410;7
411;2542
411;13
412;2504
412;17
412;4200
412;89
413;17
413;93
413;3299
414;212
414;11
415;93
416;418
416;140
416;13
416;30
416;417
416;91
420;140
420;208
420;17
420;417
421;207
421;422
421;13
421;11
421;91
423;23
423;230
423;424
423;31
423;89
426;240
426;207
426;17
426;30
426;89
427;91
429;13
429;31
430;323
430;431
430;17
430;13
430;322
432;11
433;434
435;93
436;207
436;108
440;13
440;31
440;322
440;89
441;13
441;31
441;322
442;23
442;2776
443;13
444;13
445;323
445;240
445;207
445;446
445;384
445;31
445;42
447;13
447;96
447;91
447;89
448;23
448;13
449;13
450;451
452;23
452;31
454;17
456;13
456;101
456;7
457;11
458;207
458;17
458;13
458;31
460;97
460;143
460;13
460;96
460;91
460;63
460;31
461;97
461;143
461;13
461;96
461;91
461;63
461;31
462;208
462;207
462;17
462;91
462;63
462;89
463;97
463;143
463;13
463;96
463;91
463;63
463;31
464;17
465;17
466;212
466;115
467;13
469;11
470;11
471;11
472;11
474;13
474;31
475;207
475;13
476;93
477;13
478;13
478;479
480;231
480;91
481;7
483;220
484;330
484;17
484;13
484;63
486;330
486;17
486;13
486;63
487;240
487;330
487;212
487;17
487;31
487;115
488;11
489;13
489;490
491;240
491;140
491;17
491;13
492;13
494;13
495;13
496;11
497;498
500;330
500;13
502;207
502;93
502;91
502;322
503;11
504;11
505;11
508;13
509;13
510;23
510;17
510;155
511;512
513;23
513;207
513;17
513;514
513;91
513;63
513;118
515;42
516;231
519;207
519;13
519;31
520;23
520;3395
520;11
520;3299
520;521
522;13
522;11
524;238
525;330
526;207
526;212
526;17
526;4986
526;100
526;91
528;13
530;17
530;13
531;13
532;13
533;534
533;140
533;207
533;13
533;89
535;372
535;13
536;31
537;13
537;31
537;89
538;207
538;17
539;207
539;17
541;83
542;431
542;17
542;30
542;514
542;24
542;101
542;72
544;23
544;207
544;31
544;89
546;333
547;11
548;13
549;13
550;13
551;7
552;322
553;322
553;2876
553;355
554;2875
554;322
554;355
555;17
555;13
555;31
555;42
555;322
555;355
555;89
557;2875
557;322
558;143
558;212
558;17
558;2876
558;355
558;115
560;322
560;2876
561;372
561;17
561;2875
561;322
561;89
563;11
563;42
564;300
564;11
565;17
566;23
567;140
567;13
567;11
568;114
568;342
568;140
568;13
568;30
568;31
569;342
569;143
569;13
569;30
569;89
570;13
570;11
571;31
572;31
573;322
573;89
575;93
576;93
577;11
578;11
579;11
581;93
581;11
582;93
582;11
583;93
583;11
584;434
584;17
585;586
587;11
588;11
590;13
590;1646
592;23
592;17
592;93
592;141
595;13
595;446
595;11
596;597
596;238
596;479
598;17
599;91
601;13
602;156
603;11
604;156
605;207
606;607
608;11
609;11
610;611
614;240
616;320
616;123
616;89
618;208
618;619
620;72
621;72
623;7
626;11
627;418
627;143
627;212
627;13
627;498
627;2519
627;123
627;42
628;140
628;17
628;30
628;11
628;63
629;13
629;24
629;424
631;13
632;330
632;13
632;93
633;13
634;13
634;11
635;13
637;13
638;13
639;89
640;89
641;13
642;115
643;30
645;7
645;43
646;240
646;13
646;43
646;31
646;42
647;240
647;341
648;23
648;143
648;207
648;91
648;42
649;7
650;140
650;13
650;11
650;115
650;89
651;23
651;341
651;207
651;30
651;11
651;89
652;207
652;13
657;13
663;100
663;118
664;207
664;13
664;156
664;665
664;11
667;143
667;212
667;13
668;212
668;17
668;13
669;17
670;13
671;83
672;11
673;11
674;11
675;11
676;11
677;11
678;11
679;11
680;11
683;238
684;13
685;238
686;13
687;13
689;13
690;17
693;11
694;13
695;13
695;11
696;13
697;13
700;207
701;207
702;240
702;141
702;11
702;42
703;13
703;141
704;11
705;23
706;23
708;93
708;709
710;11
712;713
712;13
712;91
712;89
715;2508
717;17
720;13
720;31
721;212
721;17
721;93
723;93
723;11
724;212
724;93
725;23
725;240
725;30
725;89
726;207
726;212
726;13
728;13
728;30
728;11
729;91
732;13
733;13
736;13
737;13
737;91
738;212
738;739
740;23
740;114
740;323
740;240
740;341
740;13
740;115
740;89
742;323
742;143
742;207
742;320
742;42
743;11
744;17
745;140
745;207
745;13
745;446
745;123
746;747
746;207
749;238
750;17
752;2582
753;23
754;7
755;17
755;141
756;13
756;91
757;17
757;11
759;91
760;23
760;207
760;761
762;2511
763;764
766;13
766;764
766;91
767;13
767;764
767;91
768;17
768;13
768;764
768;91
770;17
770;5199
770;5200
770;5201
771;23
771;13
771;384
777;223
778;220
782;13
785;13
785;2528
790;89
792;7
793;322
794;212
796;13
796;11
798;799
798;207
798;13
798;11
798;89
800;212
800;91
801;11
803;140
803;207
804;157
804;13
805;23
806;330
806;13
806;123
807;17
808;207
808;13
808;424
810;207
810;30
810;123
810;89
814;13
815;13
816;13
816;1646
818;83
819;13
820;212
820;13
821;13
822;11
822;383
824;207
824;17
825;13
826;13
827;5222
827;108
827;212
828;422
829;5222
829;13
830;13
831;13
831;1646
832;13
832;11
833;2776
833;422
834;13
834;93
834;11
835;13
836;13
836;11
836;7984
837;13
837;11
838;212
838;17
839;108
839;93
840;841
844;212
844;13
845;231
845;13
846;13
848;207
848;13
849;11
850;207
850;13
851;207
851;13
852;207
852;13
853;207
853;108
853;13
854;11
855;207
855;13
856;11
857;207
857;13
860;17
861;11
862;17
863;11
864;13
864;156
864;89
865;11
866;330
866;30
867;330
867;30
872;11
873;13
874;13
874;11
875;13
875;91
876;13
876;11
876;91
878;13
879;17
880;13
880;11
881;341
881;30
882;23
882;240
882;17
883;240
883;17
883;11
884;114
884;341
884;17
884;156
884;141
884;123
884;322
886;341
886;156
887;140
887;11
887;89
889;1319
890;342
890;30
891;892
893;207
894;13
895;13
897;13
897;521
898;220
898;141
898;30
898;331
898;118
899;23
899;143
899;207
899;212
899;13
899;123
899;115
899;89
900;23
900;143
900;901
900;208
900;13
900;63
900;902
900;903
904;23
904;341
904;208
904;17
904;13
904;31
904;42
904;89
906;223
906;11
906;903
907;23
907;140
907;208
907;13
907;123
907;89
908;909
908;11
910;17
911;13
911;446
911;72
911;7
913;17
914;11
914;245
915;11
917;143
917;17
917;13
917;89
918;240
918;341
918;207
918;141
918;11
919;17
919;13
919;89
921;208
921;207
922;231
924;909
925;89
926;11
927;342
927;13
927;91
928;13
929;341
929;207
929;108
929;212
929;13
929;141
931;143
931;11
932;143
932;11
933;143
933;207
933;108
933;13
934;17
934;13
935;143
936;938
936;140
936;17
936;13
936;937
936;42
936;322
939;17
940;220
942;220
943;220
944;13
945;498
946;11
947;13
948;220
948;17
948;72
950;13
950;31
951;11
952;11
953;11
954;11
955;11
956;11
957;97
957;231
957;96
957;451
958;13
958;89
960;961
962;89
964;212
964;13
964;11
966;13
966;89
967;13
969;418
969;437
969;330
969;341
969;207
969;212
969;63
970;437
970;30
970;101
970;971
970;63
970;42
973;330
973;2
974;42
975;17
976;17
978;13
980;207
981;207
982;207
982;17
982;30
982;181
983;207
983;42
984;207
985;207
985;181
985;89
986;13
986;11
986;31
986;89
987;1646
988;11
989;11
990;23
992;11
992;89
995;13
995;7
996;997
996;240
996;341
996;207
996;332
999;23
999;799
999;207
999;123
999;322
1000;13
1000;24
1000;424
1000;104
1001;30
1001;424
1004;54
1004;208
1005;13
1005;31
1006;13
1006;7
1007;13
1007;11
1008;23
1008;2776
1008;17
1008;13
1008;93
1008;89
1010;17
1010;13
1010;89
1011;208
1011;13
1014;140
1014;207
1014;13
1014;141
1015;17
1016;13
1018;89
1019;13
1021;11
1022;54
1022;123
1023;417
1023;31
1025;223
1025;141
1027;17
1027;6516
1027;6518
1028;17
1030;23
1030;197
1030;13
1030;42
1033;330
1033;13
1033;30
1033;101
1033;63
1034;89
1037;212
1038;231
1039;141
1040;3127
1041;23
1041;17
1041;6517
1041;2842
1041;118
1044;1045
1044;13
1047;13
1048;11
1049;17
1049;89
1050;208
1050;108
1050;13
1050;156
1051;341
1053;13
1054;13
1055;207
1055;212
1055;13
1057;13
1057;31
1058;13
1058;665
1058;42
1060;23
