id;type;name;first_name;second_name;picture_url;producer;country;abv;average_rating;rating_count
2;tonic;Macario Tonica;;;https://ginventory.reed.be/api/v2/products/2/picture?type=normal;Macario S.r.l.;Italy;;7.5;28
7;tonic;Schweppes Indian Tonic Water;;;https://ginventory.reed.be/api/v2/products/7/picture?type=normal;Dr. Pepper Snapple Group;Switzerland / United States;;7.8;829
11;tonic;Neat;;;;/;;;8.6;122
12;tonic;Peter Spanton No. 5 Lemongrass Superior Tonic;;;https://ginventory.reed.be/api/v2/products/12/picture?type=normal;Peter Spanton Drinks;United Kingdom;;8.2;29
13;tonic;Fever Tree Premium Indian Tonic Water;;;https://ginventory.reed.be/api/v2/products/13/picture?type=normal;Fevertree Ltd.;United Kingdom;;9.0;2181
17;tonic;Fever Tree Mediterranean Tonic Water;;;https://ginventory.reed.be/api/v2/products/17/picture?type=normal;Fevertree Ltd.;United Kingdom;;9.3;2461
23;tonic;1724 Tonic Water;;;https://ginventory.reed.be/api/v2/products/23/picture?type=normal;Global Premium Brands Ltd.;Spain;;9.3;1038
24;tonic;Markham Premium Indian Tonic Water;;;https://ginventory.reed.be/api/v2/products/24/picture?type=normal;Markham;United Kingdom / Spain;;8.4;11
30;tonic;Indi Tonic Water;;;https://ginventory.reed.be/api/v2/products/30/picture?type=normal;Indi & Co;Spain;;8.9;154
31;tonic;Schweppes Premium Mixer Original Tonic;;;https://ginventory.reed.be/api/v2/products/31/picture?type=normal;Dr. Pepper Snapple Group;Switzerland / United States;;8.5;190
42;tonic;Schweppes Premium Mixer Pink Pepper Tonic;;;https://ginventory.reed.be/api/v2/products/42/picture?type=normal;Dr. Pepper Snapple Group;Switzerland / United States;;8.8;218
43;tonic;Schweppes Premium Mixer Hibiscus Tonic;;;https://ginventory.reed.be/api/v2/products/43/picture?type=normal;Dr. Pepper Snapple Group;Switzerland / United States;;8.4;199
54;tonic;Bö Premium Tonic Water Flowers;;;https://ginventory.reed.be/api/v2/products/54/picture?type=normal;Blanar Foods;Spain;;7.2;1
63;tonic;Schweppes Premium Mixer Ginger & Cardamom Tonic;;;https://ginventory.reed.be/api/v2/products/63/picture?type=normal;Dr. Pepper Snapple Group;Switzerland / United States;;8.6;88
72;tonic;Quina Fina Tonic Water;;;https://ginventory.reed.be/api/v2/products/72/picture?type=normal;Quina Fina;New Zealand;;7.9;9
83;tonic;Bradley's Kina Tonic;;;https://ginventory.reed.be/api/v2/products/83/picture?type=normal;Bradley’s Tonic Co.;United States;;7.5;4
